selection,product,signal,family,strategy,window,start,end,total_return,end_value,cagr,ann_vol,sharpe,max_drawdown,calmar,exposure,trades,entry_ma,exit_ma,breakout,exit_rsi,rsi_low,reclaim,hold,entry_score,exit_score
BEST_BREAKOUT,SOXL,SMH,BREAKOUT_RSI,B20_RSI92,5Y,2021-07-20,2026-07-20,7.331304233715642,83313.04233715642,0.530651194071305,0.6775500224289785,0.9687342766566521,-0.6647578737142839,0.7982623674787513,0.399203187250996,76.5,,,20.0,92.0,,,,,
BEST_BREAKOUT,SOXL,SMH,BREAKOUT_RSI,B20_RSI92,10Y,2016-07-20,2026-07-20,17.0674979818388,180674.979818388,0.33671835745068246,0.6775324124859683,0.7703661836362858,-0.8492342891217719,0.39649642244061617,0.5049741345005969,177.5,,,20.0,92.0,,,,,
BEST_BREAKOUT,SOXL,SMH,BREAKOUT_RSI,B20_RSI92,MAX,2010-03-11,2026-07-20,16.569526778865626,175695.26778865626,0.19191929112874084,0.6195719990384477,0.5956190328870458,-0.8492342891217717,0.2259909822143575,0.4931939718035975,275.5,,,20.0,92.0,,,,,
BEST_MHT,SOXL,SOXX,MHT,MHT6_3,1Y,2025-07-21,2026-07-20,3.2354688228415274,42354.688228415274,3.259897062059922,1.1253617828640934,1.8540117123062645,-0.49779603844606934,6.548660114363477,0.8565737051792829,3.0,,,,,,,,6.0,3.0
BEST_MHT,SOXL,SOXX,MHT,MHT6_3,3Y,2023-07-20,2026-07-20,7.197325720251131,81973.2572025113,1.023845630716644,0.7769412895036958,1.2968957031486654,-0.5235697565164235,1.9555094960580055,0.5531914893617021,9.0,,,,,,,,6.0,3.0
BEST_MHT,SOXL,SOXX,MHT,MHT6_3,5Y,2021-07-20,2026-07-20,10.618727721522175,116187.27721522175,0.6363659982952128,0.7035138182691998,1.0512885146162925,-0.5235697565164235,1.215436893317292,0.50199203187251,15.0,,,,,,,,6.0,3.0
BEST_MHT,SOXL,SOXX,MHT,MHT6_3,10Y,2016-07-20,2026-07-20,37.92486913293978,389248.69132939784,0.4436625025387717,0.6436218194045458,0.8941559146648711,-0.6038102063369603,0.7347714528216883,0.584958217270195,39.0,,,,,,,,6.0,3.0
BEST_MHT,SOXL,SOXX,MHT,MHT6_3,MAX,2010-03-11,2026-07-20,76.83907386145772,778390.7386145772,0.3057014950592387,0.5583332589480207,0.7586096849039715,-0.6038102063369604,0.5062873927120072,0.5342732134175985,62.0,,,,,,,,6.0,3.0
BUY_HOLD,USD,USD,BUY_HOLD,BUY_HOLD,1Y,2025-07-21,2026-07-20,1.1383748228258765,21383.748228258766,1.144859789611124,0.7111739686040544,1.4323746126599728,-0.30921443293739437,3.7024784992585387,1.0,0.5,,,,,,,,,
BUY_HOLD,USD,USD,BUY_HOLD,BUY_HOLD,3Y,2023-07-20,2026-07-20,6.873641873756666,78736.41873756667,0.9967062762483989,0.8099975898197408,1.2635134981648808,-0.6903629537797378,1.443742412294042,1.0,0.5,,,,,,,,,
BUY_HOLD,USD,USD,BUY_HOLD,BUY_HOLD,5Y,2021-07-20,2026-07-20,10.296035053842989,112960.35053842989,0.6271372638129935,0.7944716529785778,1.0120645721147277,-0.7894829626430602,0.7943645315833545,1.0,0.5,,,,,,,,,
BUY_HOLD,USD,USD,BUY_HOLD,BUY_HOLD,10Y,2016-07-20,2026-07-20,88.75390175596071,897539.0175596072,0.5698181995004283,0.6935702696182189,0.9988368734959795,-0.7894829626430604,0.7217612367374843,1.0,0.5,,,,,,,,,
BUY_HOLD,USD,USD,BUY_HOLD,BUY_HOLD,MAX,2007-02-01,2026-07-20,138.93272692716752,1399327.2692716753,0.28959021310588917,0.6331954124386162,0.7195059318860334,-0.8853842025705356,0.3270785860704562,1.0,0.5,,,,,,,,,
BUY_HOLD,SOXL,SOXL,BUY_HOLD,BUY_HOLD,1Y,2025-07-21,2026-07-20,4.656214791163032,56562.14791163032,4.695397028072951,1.2555705734973974,2.0198914811164177,-0.5832052419746299,8.051019932837308,1.0,0.5,,,,,,,,,
BUY_HOLD,SOXL,SOXL,BUY_HOLD,BUY_HOLD,3Y,2023-07-20,2026-07-20,5.1565274394089755,61565.274394089756,0.8387025205233065,1.1231817825900774,1.1109043999798245,-0.886575211645948,0.946002673553477,1.0,0.5,,,,,,,,,
BUY_HOLD,SOXL,SOXL,BUY_HOLD,BUY_HOLD,5Y,2021-07-20,2026-07-20,3.313292905042368,43132.92905042368,0.3411199225323591,1.1153489479819922,0.8238080646741993,-0.9129141124900403,0.37366047678015346,1.0,0.5,,,,,,,,,
BUY_HOLD,SOXL,SOXL,BUY_HOLD,BUY_HOLD,10Y,2016-07-20,2026-07-20,76.44279119933906,774427.9119933905,0.5467647932314945,0.9941040894587282,0.9401224322623973,-0.9129141124900405,0.5989224898059176,1.0,0.5,,,,,,,,,
BUY_HOLD,SOXL,SOXL,BUY_HOLD,BUY_HOLD,MAX,2010-03-11,2026-07-20,265.36672456276006,2663667.2456276007,0.40789726611824006,0.8977985272484114,0.8331114715676929,-0.9129141124900404,0.44680793136790303,1.0,0.5,,,,,,,,,
