product,signal,family,strategy,roll_years,start,end,total_return,end_value,cagr,ann_vol,sharpe,max_drawdown,calmar,exposure,trades
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2008-08-01,2013-08-01,-0.2657955049660421,7342.044950339579,-0.059969181445904574,0.345026699354507,-0.0063688979196034725,-0.5209596662022696,-0.11511290669212908,0.4765687053216839,59.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2008-11-01,2013-11-01,-0.23969249601116027,7603.075039888397,-0.053372864031622,0.3457137415233704,0.014546677691741231,-0.5209596662022696,-0.10245104850573838,0.4837172359015091,64.0
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2009-02-01,2014-02-01,-0.2928251151334067,7071.748848665933,-0.06700039026980875,0.34764531994529974,-0.025303217748410618,-0.5209596662022696,-0.1286095538993127,0.5051628276409849,69.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2009-05-01,2014-05-01,-0.17573755217062448,8242.624478293756,-0.03794529168532734,0.3517521111059297,0.06622633781255742,-0.5209596662022696,-0.07283729268705913,0.5242255758538522,74.0
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2009-08-01,2014-08-01,-0.17703725132625792,8229.627486737421,-0.038249118387378545,0.3313176288380246,0.048347324634642454,-0.5209596662022709,-0.07342049849311696,0.5099285146942018,78.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2009-11-01,2014-11-01,-0.06732105396427324,9326.789460357268,-0.013853071419640317,0.336331072326566,0.12720916176101546,-0.48470687209778063,-0.028580307433408364,0.5258141382049245,81.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2010-02-01,2015-02-01,0.2075112278026463,12075.112278026463,0.038463518965089705,0.3247524772645977,0.2788940670493966,-0.48470687209778085,0.07935418534220902,0.5075456711675933,81.0
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2010-05-01,2015-05-01,0.01768802821198978,10176.880282119897,0.0035156338017032773,0.3176960458050778,0.17020841104660417,-0.4847068720977803,0.00725311317846153,0.49563145353455124,80.5
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2010-08-01,2015-08-01,0.31850322661834407,13185.032266183442,0.05690344874040232,0.2935469434984972,0.33552397233747083,-0.4847068720977812,0.11739765209873698,0.47736298649722003,81.0
USD,SMH,BREAKOUT_RSI,B20_RSI92,5,2010-11-01,2015-11-01,0.30688852866015215,13068.885286601522,0.05503331681394075,0.2794594083038061,0.3315746651491402,-0.48470687209778074,0.1135393780900197,0.4392374900714853,78.0
