strategy,family,asset_count,median_asset_score,median_cagr,median_sharpe,median_calmar,median_late_cagr,median_stress_cagr,worst_maxdd,worst_late_cagr,median_trades,median_exposure,robust_score,actual_asset_count,actual_median_cagr,actual_median_sharpe,actual_median_calmar,actual_positive_share,actual_score,final_score,universe,leverage
BRK126_F200_XLOW20,breakout,3,0.48759398496240597,0.03669464415005996,0.2720657349298741,0.056275527243129835,0.15247811953012036,3.5202097412811995e-05,-0.9560264675135955,0.03088897536181512,61.0,0.3823572155209999,0.4924460431654677,3,0.07525409710390463,0.42889890795383456,0.15342333111055584,1.0,0.6237951807228915,0.5187158706769525,index,3
BRK126_F100_XLOW10,breakout,3,0.47777777777777786,0.020563469330091344,0.2174440568915757,0.028017481459110385,0.06796182221870661,-0.01706848072951328,-0.7496706140482159,0.04644616837695503,111.0,0.3044615608196483,0.5007194244604316,3,0.0633495840128595,0.3763293416964471,0.13154335042198506,1.0,0.5876506024096385,0.518105660050273,index,3
BRK63_F200_XLOW10,breakout,3,0.45526315789473676,0.025024641879169085,0.2732094910680474,0.030000732106213637,0.08258290663895296,-0.00900112020894539,-0.892279319661901,0.05191282110981654,127.0,0.33832291818049703,0.4546762589928058,3,0.08156126855255175,0.4858259386524797,0.19298593105864797,1.0,0.6662650602409638,0.49699401924243736,index,3
MA_20_50,ma_crossover,3,0.44481481481481483,0.04355243233926909,0.3481167538097881,0.04540428544486963,0.14184905409180382,-0.007348861830782094,-0.9602676636793305,0.13762999498127515,66.0,0.6515041418398488,0.4266187050359712,3,0.16248270848374302,0.5630243537615391,0.21773636947589045,1.0,0.7629518072289156,0.49388532547456016,index,3
RSI2_15_REC10_XR90_T10,pullback_reclaim,3,0.44407407407407407,0.02706864115162322,0.2357298086619539,0.043149573357041296,0.0571151713861886,-0.013690379330203561,-0.7138294956060026,0.049624732842780794,193.0,0.14736230199098968,0.47158273381294963,3,0.04916089205659846,0.3418384440241944,0.14450881437733015,1.0,0.5756024096385541,0.4923866689780706,index,3
BRK126_F100_XLOW20,breakout,3,0.4661654135338346,0.03542197447910511,0.26676405306269496,0.05432373949867209,0.15247811953012036,-0.0018239894006532031,-0.9613253241503242,0.03088897536181512,62.0,0.3909315506467083,0.45791366906474823,3,0.07525409710390463,0.42889890795383456,0.15342333111055584,1.0,0.6237951807228915,0.4910899713963769,index,3
PRICE_SMA20_H2,price_hysteresis,3,0.38037037037037036,0.030083915572896247,0.31340473508485256,0.03077375183588102,0.24641433372258015,-0.02811690784819687,-0.9931162502684568,0.15361905654862973,129.0,0.624618514750763,0.38633093525179857,3,0.18311129208396215,0.6556260747128055,0.3516631793962107,1.0,0.8786144578313252,0.4847876397677039,index,3
PRICE_SMA50_H0,price_hysteresis,3,0.41824817518248175,0.03249854028203081,0.3379763078210823,0.03668576003094094,0.23786556155817995,-0.04492343923563735,-0.953883155966399,0.07309979722549786,240.0,0.651649469553844,0.3960431654676259,3,0.18845746824930631,0.59305818564964,0.24863373620171444,1.0,0.8201807228915663,0.48087067695241403,index,3
BRK63_F100_XLOW20,breakout,3,0.4082706766917293,0.03947828044020074,0.2801103515097817,0.04830542673158849,0.16495400865109922,-0.0026507180933801333,-0.9749855644203843,0.036838885242405084,74.0,0.4598168870803662,0.4089928057553957,3,0.12205774472365416,0.5667260681701225,0.2289448193207697,1.0,0.747289156626506,0.4766520759296178,index,3
RSI2_10_REC5_XR70_T10,pullback_reclaim,3,0.5011278195488722,0.023417700239922734,0.2316951060920646,0.06227298047753143,-0.00031825061229928675,-0.010448648798094706,-0.656837015609802,-0.004672909345519782,180.0,0.06408952187182096,0.5005395683453238,3,0.008815785466013804,0.14663043282529833,0.015130433866480976,1.0,0.36927710843373496,0.47428707636300604,index,3
BRK50_F200_XLOW10,breakout,3,0.4447368421052632,0.007395187777441192,0.23981518534448115,0.00830203003690495,0.117183079035863,-0.028441774191891978,-0.8907686125643272,0.05976736478742928,130.0,0.35648888242987936,0.42158273381294964,3,0.10204968589066055,0.4528137376864311,0.1636120295569457,1.0,0.6674698795180722,0.47076016295397416,index,3
