product,signal,strategy,window,cagr,sharpe,maxdd,calmar,exposure,trades,end_value
USD,SMH,PB_RSI10_R15_H20,3Y,0.2857609570015449,0.8063795644542746,-0.40506004095923176,0.7054780232699034,0.324468085106383,12.5,21171.323087936104
USD,SMH,PB_RSI10_R15_H20,5Y,0.17410372917690142,0.6305178798216999,-0.40506004095923154,0.42982203024668286,0.28127490039840636,17.5,22240.74201433486
USD,SMH,PB_RSI10_R15_H20,10Y,0.10710686463144836,0.48370881286561734,-0.4330687739109885,0.24732068226526704,0.27059291683247116,34.0,27584.679917148696
USD,SMH,PB_RSI10_R15_H20_TS8,MAX,0.06311582438754937,0.36905711083262444,-0.518487504570075,0.1217306566334408,0.24994894833571574,75.0,32849.45940085668
USD,SMH,PB_RSI10_R15_H20_TS8,3Y,0.24884598072901043,0.7613262807700167,-0.35933761591014657,0.6925130287257071,0.30186170212765956,14.5,19408.624347096225
USD,SMH,PB_RSI10_R15_H20_TS8,5Y,0.12269275916376432,0.5183713316488524,-0.367436493592843,0.3339155508590292,0.2589641434262948,22.5,17795.38415883288
USD,SMH,PB_RSI10_R15_H20_TS8,10Y,0.09098687596849464,0.4455202740061242,-0.5012936743513297,0.18150413744245025,0.25666534023079984,42.0,23831.134640271415
USD,SMH,PB_RSI10_R15_H20_TS12,MAX,0.0652393783157843,0.3724460032030206,-0.5227994763097127,0.1247885303487483,0.2603634878497039,65.0,34148.29664668205
USD,SMH,PB_RSI10_R15_H20_TS12,3Y,0.2296296709320067,0.7079923735423391,-0.40506004095923176,0.5669027988744966,0.32313829787234044,12.5,18530.96402605681
USD,SMH,PB_RSI10_R15_H20_TS12,5Y,0.14238452617206443,0.557841651527483,-0.40506004095923187,0.35151461949907575,0.2796812749003984,18.5,19405.03764763139
USD,SMH,PB_RSI10_R15_H20_TS12,10Y,0.09206770805672582,0.44178108246873693,-0.4330687739109885,0.21259373476705365,0.26979705531237563,35.0,24067.62112276317
USD,SMH,PB_RSI10_R15_H20_TS16,MAX,0.07107612368003102,0.3918540154346364,-0.5369989369551784,0.13235803423194395,0.261384521135389,64.0,37973.87398230704
USD,SMH,PB_RSI10_R15_H20_TS16,3Y,0.2857609570015449,0.8063795644542746,-0.40506004095923176,0.7054780232699034,0.324468085106383,12.5,21171.323087936104
USD,SMH,PB_RSI10_R15_H20_TS16,5Y,0.17410372917690142,0.6305178798216999,-0.40506004095923154,0.42982203024668286,0.28127490039840636,17.5,22240.74201433486
USD,SMH,PB_RSI10_R15_H20_TS16,10Y,0.10710686463144836,0.48370881286561734,-0.4330687739109885,0.24732068226526704,0.27059291683247116,34.0,27584.679917148696
USD,SMH,PB_RSI10_R15_H30,MAX,0.08305807942348409,0.41322817378038607,-0.572562727414349,0.1450637204391006,0.3306105779048397,53.5,47138.0310630638
