product,signal,strategy,start,end,years,cagr,sharpe,maxdd,calmar,exposure,trades,end_value
SOXL,SMH,PB_RSI5_R10_H30_TS12,2023-03-11,2026-03-11,3,0.9930453299407267,1.7440345302075013,-0.2711647690173762,3.6621473119064833,0.2393617021276596,6.0,78306.40539204917
SOXL,SMH,PB_RSI5_R10_H30_TS12,2023-06-11,2026-06-11,3,1.6150940423511466,2.2414890504500486,-0.2711647690173763,5.956135261242773,0.2403718459495352,6.5,176803.90255796866
SOXL,SMH,PB_RSI5_R10_H30_TS12,2010-03-11,2015-03-11,5,-0.15087937826961528,-0.26682832247565114,-0.650643490867665,-0.23189255004827639,0.2565528196981732,13.0,4417.014336778345
SOXL,SMH,PB_RSI5_R10_H30_TS12,2010-06-11,2015-06-11,5,-0.11610950759245064,-0.18538078001390285,-0.6471655781493056,-0.17941236603542496,0.26449563145353455,13.5,5397.6536846982735
SOXL,SMH,PB_RSI5_R10_H30_TS12,2010-09-11,2015-09-11,5,-0.09505385203320538,-0.18257496440604126,-0.5838840153135739,-0.16279577714104207,0.23272438443208895,12.0,6071.357562781543
SOXL,SMH,PB_RSI5_R10_H30_TS12,2010-12-11,2015-12-11,5,-0.13600410742122904,-0.34672576859768156,-0.5838840153135743,-0.23293000639551364,0.221604447974583,11.5,4817.373586282043
SOXL,SMH,PB_RSI5_R10_H30_TS12,2011-03-11,2016-03-11,5,-0.1279023884200594,-0.3184170238020346,-0.583884015313574,-0.2190544441456744,0.20889594916600476,11.0,5047.325791787064
SOXL,SMH,PB_RSI5_R10_H30_TS12,2011-06-11,2016-06-11,5,-0.11738914733348749,-0.30762841061821605,-0.5838840153135739,-0.20104874299469191,0.18521462639109698,10.0,5361.3815937110485
SOXL,SMH,PB_RSI5_R10_H30_TS12,2011-09-11,2016-09-11,5,-0.08545481097690588,-0.1439385256585375,-0.612004321142456,-0.1396310581882552,0.20906200317965024,11.0,6402.266422805547
SOXL,SMH,PB_RSI5_R10_H30_TS12,2011-12-11,2016-12-11,5,-0.03916209260509551,0.048613813115423204,-0.612004321142456,-0.06398989558111269,0.25119236883942764,12.5,8191.969768633296
SOXL,SMH,PB_RSI5_R10_H30_TS12,2012-03-11,2017-03-11,5,-0.018978764052927644,0.11274218571583552,-0.612004321142456,-0.031010833416174468,0.25675675675675674,12.5,9087.785905421906
SOXL,SMH,PB_RSI5_R10_H30_TS12,2012-06-11,2017-06-11,5,0.1867029396135682,0.7140709550143761,-0.5584724577981433,0.33431002192958803,0.23529411764705882,11.0,23502.825430356523
SOXL,SMH,PB_RSI5_R10_H30_TS12,2012-09-11,2017-09-11,5,0.18694080030478588,0.714725710909701,-0.5584724577981431,0.33473593494982096,0.23529411764705882,11.0,23526.35178213869
SOXL,SMH,PB_RSI5_R10_H30_TS12,2012-12-11,2017-12-11,5,0.18661796006959852,0.7141570940568874,-0.5584724577981431,0.33415785767729045,0.23492063492063492,11.0,23526.35178213869
SOXL,SMH,PB_RSI5_R10_H30_TS12,2013-03-11,2018-03-11,5,0.13142092651921744,0.5634095243117783,-0.5584724577981436,0.23532212678376832,0.2111111111111111,10.0,18540.482644672946
SOXL,SMH,PB_RSI5_R10_H30_TS12,2013-06-11,2018-06-11,5,0.0731972090345856,0.39064314399364564,-0.5584724577981434,0.1310668198807439,0.1873015873015873,9.0,14236.317753470452
SOXL,SMH,PB_RSI5_R10_H30_TS12,2013-09-11,2018-09-11,5,0.061924470032843404,0.35633723910442383,-0.5230230211287816,0.1183972168169554,0.1738095238095238,8.5,13504.17763428815
SOXL,SMH,PB_RSI5_R10_H30_TS12,2013-12-11,2018-12-11,5,0.05854598027586655,0.3444282606315724,-0.5230230211287816,0.1119376736984031,0.187450357426529,9.0,13287.723487658459
SOXL,SMH,PB_RSI5_R10_H30_TS12,2014-03-11,2019-03-11,5,0.05854598027586655,0.3444282606315724,-0.5230230211287816,0.1119376736984031,0.187450357426529,9.0,13287.723487658459
SOXL,SMH,PB_RSI5_R10_H30_TS12,2014-06-11,2019-06-11,5,0.1530233004555117,0.6200789166185869,-0.5230230211287816,0.29257469417934756,0.21127879269261318,10.0,20367.84255126739
SOXL,SMH,PB_RSI5_R10_H30_TS12,2014-09-11,2019-09-11,5,0.1530233004555117,0.6200789166185869,-0.5230230211287816,0.29257469417934756,0.21127879269261318,10.0,20367.84255126739
SOXL,SMH,PB_RSI5_R10_H30_TS12,2014-12-11,2019-12-11,5,0.2908043404253746,0.9957183866394138,-0.3798030655285003,0.7656713881988211,0.22319301032565528,9.5,35798.28020780511
SOXL,SMH,PB_RSI5_R10_H30_TS12,2015-03-11,2020-03-11,5,0.3801406443522253,1.2370906569804216,-0.31126579896784046,1.2212734120252668,0.21428571428571427,9.0,50074.512387474235
SOXL,SMH,PB_RSI5_R10_H30_TS12,2015-06-11,2020-06-11,5,0.4092332045667708,1.3904249995395666,-0.20617229262456016,1.9849088321095827,0.19047619047619047,8.0,55579.46189103275
SOXL,SMH,PB_RSI5_R10_H30_TS12,2015-09-11,2020-09-11,5,0.4092332045667708,1.3904249995395666,-0.20617229262456016,1.9849088321095827,0.19047619047619047,8.0,55579.46189103275
SOXL,SMH,PB_RSI5_R10_H30_TS12,2015-12-11,2020-12-11,5,0.5337986664700192,1.5701936432400758,-0.20617229262456016,2.589090220003843,0.2119047619047619,8.5,84887.11606752969
SOXL,SMH,PB_RSI5_R10_H30_TS12,2016-03-11,2021-03-11,5,0.6440619680072712,1.676372814155537,-0.20617229262456016,3.123901664032559,0.23828435266084194,10.0,119876.51160939127
SOXL,SMH,PB_RSI5_R10_H30_TS12,2016-06-11,2021-06-11,5,0.6440619680072712,1.676372814155537,-0.20617229262456016,3.123901664032559,0.23828435266084194,10.0,119876.51160939127
