product,signal,strategy,median_cagr,worst_cagr,median_sharpe,worst_sharpe,median_calmar,worst_maxdd,median_exposure,trades,score
SOXL,SMH,PB_RSI5_R15_H30_TS8,0.5613895220950665,0.22151432547412186,1.3849459760459333,0.7827469469542505,1.721590286604421,-0.7266956512702618,0.17096668005983356,56.0,3.1629801621259777
SOXL,SOXX,HYB_F50_L5_B35,0.8127459351448579,0.4121823071422006,1.3953616352095404,0.9980146470500514,1.5529156800369712,-0.661561969253885,0.43998479550683794,144.125,3.153872130580125
SOXL,SOXX,PB_RSI5_R20_H50_TS12,0.6341799245164706,0.2801463607295276,1.2720982873438547,0.8578702195565261,1.516934328381917,-0.5699174475190096,0.24758519115029243,58.0,3.1435733509796666
SOXL,SOXX,PB_RSI5_R10_H30_TS12,0.539784156698993,0.22521903811118538,1.2931386778034497,0.7593479030405147,1.5397438427665942,-0.6130047971429653,0.18848790662794054,61.0,3.135329015385765
SOXL,SOXX,HYB_F63_L5_B50,0.8156957473642988,0.4398117376494217,1.3288572360311717,0.997710198758028,1.335002894367606,-0.6222927999458101,0.5147306655722448,163.75,3.1331935489129954
SOXL,SMH,PB_RSI3_R10_H40,0.46813326727954774,0.19597217192261818,1.2862517561463336,0.7737226489018246,1.5436465616678663,-0.4208095926298554,0.15926742690994874,34.0,3.1213150660009648
SOXL,SMH,PB_RSI3_R10_H40_TS16,0.46813326727954774,0.19597217192261818,1.2862517561463336,0.7737226489018246,1.5436465616678663,-0.4208095926298554,0.15926742690994874,34.0,3.1213150660009648
SOXL,SOXX,PB_RSI5_R10_H30_TS8,0.5178808488533251,0.2105988249220303,1.266626110564625,0.7470770287234406,1.5470314278705846,-0.5516444529365611,0.18455124983551668,65.0,3.1057262080770847
SOXL,SOXX,HYB_F40_L5_B35,0.7855239142144378,0.38096674665786456,1.3659122855200394,0.9457596772584572,1.5593811887651348,-0.6615619692538848,0.4426889240348728,151.825,3.102216766928721
SOXL,SMH,PB_RSI7_R10_H20_TS16,0.7019939645941843,0.1529240417207809,1.4385759788206254,0.5627233234490077,1.6769257906101775,-0.778883930814474,0.23256282282776547,103.0,3.0826446211534453
SOXL,SMH,PB_RSI3_R10_H40_TS8,0.43853816288983294,0.19485283645803464,1.2440614322719394,0.784401899334587,1.5400807869190851,-0.34869974960932626,0.15667992574072986,39.0,3.0776691122536883
SOXL,SMH,HYB_F40_L5_B65,0.9086743716628661,0.41644417481802387,1.2989300501026477,0.9013042247192504,1.5950850198275863,-0.7361482163715023,0.6339110912441211,201.72500000000002,3.077563213519059
SOXL,SOXX,PB_RSI5_R20_H30_TS16,0.4125417768311711,0.24962636414485506,1.1947787500750344,0.9242030858466853,1.5118290316656333,-0.5262197397426991,0.15256973708022026,45.0,3.0624717352747663
SOXL,SMH,PB_RSI3_R10_H30,0.4105233753791391,0.16630540205218458,1.281570459556697,0.7270868796512839,1.5139259309635194,-0.5703532193491053,0.11945057018246155,35.0,3.0604208114591294
SOXL,SMH,PB_RSI3_R10_H30_TS16,0.4105233753791391,0.16630540205218458,1.281570459556697,0.7270868796512839,1.5139259309635194,-0.5703532193491053,0.11945057018246155,35.0,3.0604208114591294
SOXL,SMH,PB_RSI7_R10_H20_TS8,0.6711068417554841,0.1281956849291217,1.4288882089635702,0.5123423939690073,1.6876978520134602,-0.8547508339055001,0.22635194338079032,121.0,3.058769501933843
SOXL,SOXX,PB_RSI5_R20_H30,0.4125417768311711,0.2458039238382992,1.1947787500750344,0.9127963577953931,1.5118290316656333,-0.5497779288137714,0.15269124376308782,44.0,3.0577088331086655
SOXL,SOXX,PB_RSI5_R20_H30_TS8,0.4133196581054598,0.23177817571336434,1.1963564589166154,0.8888540998734944,1.5201521905896564,-0.5129502848744706,0.15111165688580958,49.0,3.0546112623313277
SOXL,SOXX,PB_RSI5_R20_H30_TS12,0.4125417768311711,0.23449690239070553,1.1947787500750344,0.8895541558476354,1.5118290316656333,-0.5305771812413183,0.15196220366588248,45.0,3.0462447718979293
SOXL,SMH,PB_RSI3_R10_H30_TS12,0.4105233753791391,0.15347334713332028,1.281570459556697,0.688175763263434,1.5139259309635194,-0.6045364736707576,0.11945057018246155,36.0,3.044277004902735
SOXL,SMH,PB_RSI7_R10_H20,0.6999342645679104,0.15088461713752022,1.4156999960388523,0.5509994768986375,1.662348319736516,-0.778883930814474,0.23377788965644106,97.0,3.041240493568788
SOXL,SMH,PB_RSI3_R5_H40_TS12,0.5767998638475303,0.20691973352995308,1.2895967656913938,0.6861891561803385,1.4765261354283659,-0.5685319793245551,0.2422695301564308,59.0,3.0411300569298207
SOXL,SOXX,HYB_F50_L5_B50,0.7744611524714671,0.42689818830625414,1.282219547330258,0.975170003346548,1.2970576431912182,-0.62229279994581,0.5194845337504201,182.75,3.03651878551124
SOXL,SMH,PB_RSI3_R10_H40_TS12,0.4620893217377947,0.18483258676916647,1.2739656714266328,0.743348283373579,1.4817677595461598,-0.41997144790605334,0.1586705307698771,39.0,3.033986795200771
SOXL,SMH,PB_RSI5_R5_H40,0.9653804102907547,0.3829130630827955,1.4029328510205619,0.8743602834862001,1.4701369480441437,-0.7658228890072503,0.4314214689193881,90.0,3.0331164014776535
SOXL,SOXX,PB_RSI5_R10_H50,0.7694419990850961,0.31548379409204075,1.3036232111843995,0.8108329238037115,1.6141774016688735,-0.8156120779486006,0.32211337697360176,54.0,3.028250740850221
SOXL,SMH,HYB_F50_L7_B50,0.8786976029918885,0.3790530516773354,1.2965430874489992,0.8625436793218885,1.5410799529965293,-0.7197305420349556,0.5969944865073429,163.0,2.992785486114668
SOXL,SMH,PB_RSI7_R10_H30_TS8,0.8135623278950836,0.19772433431282788,1.4768036844818537,0.6449309734931647,1.5041839860878852,-0.8666127624801965,0.29245944990432227,122.5,2.9910825810994446
SOXL,SMH,PB_RSI10_R5_H60,1.0222765111676755,0.48909535709028384,1.2959057689522573,0.9263176328073304,1.4523664614463625,-0.8626820264748905,0.6837863764560373,94.5,2.9743993171455947
SOXL,SOXX,PB_RSI7_R5_H60,1.0219286219881631,0.3916546531088969,1.3576021513249592,0.8409476123070977,1.4490260060107558,-0.8718202278327887,0.5941785582528567,81.5,2.9626923869669377
SOXL,SMH,PB_RSI5_R15_H50_TS16,0.685933905441141,0.256814170418981,1.2639575719176004,0.7489544001080845,1.612055913917909,-0.6785786946338133,0.28090328697149325,51.0,2.9416591710720206
SOXL,SMH,PB_RSI3_R10_H30_TS8,0.39024369883986076,0.16039021230234884,1.2426090862902108,0.7285895295620234,1.4352809067306926,-0.46980289641533646,0.11885319842793568,35.0,2.9402324815625835
SOXL,SOXX,HYB_F40_L5_B50,0.7370909548353166,0.38204986701635013,1.2451643873221236,0.9073636318584167,1.2725457715275237,-0.6222927999458099,0.5235735083115742,193.75,2.9355760003224267
SOXL,SOXX,PB_RSI3_R5_H50_TS12,0.6588749657915296,0.3198484732244551,1.2218632656896224,0.8647130950825062,1.332080778192087,-0.6277422280987874,0.3056656353310163,63.5,2.9300465542645635
SOXL,SOXX,PB_RSI5_R10_H50_TS16,0.7325459464552344,0.2728313548732735,1.2692732370583624,0.7589448956539862,1.5680367884283206,-0.818748434952567,0.3187309655131959,65.0,2.913461926836816
SOXL,SOXX,PB_RSI5_R20_H50_TS8,0.5644394095627541,0.26807253424339716,1.2010573534211182,0.8452919384129165,1.3575097511622045,-0.538017409422442,0.2400868471993443,69.0,2.9039263563082502
SOXL,SMH,PB_RSI5_R15_H50_TS8,0.6075955943275914,0.2540459059212421,1.2029895159477912,0.7657642869495986,1.3700059751876805,-0.4648944577841201,0.2661514331495404,80.0,2.891459515833492
SOXL,SMH,PB_RSI5_R5_H40_TS8,0.8468287429066926,0.2669140231995968,1.3743046694410304,0.7404983045393165,1.4227598518616298,-0.7347296902550028,0.3896144827772079,154.0,2.865646109037288
SOXL,SOXX,PB_RSI5_R10_H50_TS12,0.7038784939985389,0.2760875038968855,1.263003727003777,0.7763170329634087,1.5147745317295,-0.7110750988787283,0.31455174130378605,75.0,2.859901268922572
SOXL,SMH,PB_RSI5_R5_H40_TS12,0.8990082015958275,0.34570601320666183,1.3882504566634204,0.8447969278292664,1.3362579693926353,-0.672780422783522,0.41449942371381965,126.0,2.858560664616703
SOXL,SMH,HYB_F40_L7_B65,0.8753514639634855,0.38129883922839847,1.244887925100648,0.8436661796200228,1.4559554023386325,-0.7873625969035383,0.665934025207439,207.5,2.8524092919584856
SOXL,SMH,PB_RSI5_R20_H50,0.5991115193415347,0.20230197645123726,1.2514649984733068,0.6631377040394711,1.5822200914896094,-0.7088651475124272,0.22124072542074918,40.0,2.8506205041984027
SOXL,SMH,PB_RSI5_R5_H50_TS12,0.7274594634006769,0.38940167488947997,1.2036279206076188,0.8973031414727456,1.2165258423996872,-0.612128559270223,0.4612810199710509,100.0,2.8391803858202325
SOXL,SOXX,PB_RSI5_R10_H20_TS8,0.44373610697492916,0.12853275688665788,1.2426454571154197,0.5581368954275358,1.3890999245302498,-0.6230317536544769,0.13693415886877763,73.5,2.8355459839458823
